132,268
192,319
247,26
90,42
150,93
241,211
282,212
53,160
144,278
185,279
143,53
294,222
201,31
242,32
44,47
85,48
104,98
145,99
197,289
236,217
296,268
7,165
48,166
139,284
254,42
9,211
157,109
248,227
289,228
196,37
297,89
60,176
151,294
99,104
159,155
200,156
250,273
2,171
62,222
249,48
309,99
4,217
152,115
212,166
243,233
303,284
251,94
55,182
113,160
154,161
302,59
16,227
57,228
117,279
203,53
263,104
304,105
15,2
106,120
166,171
207,172
205,99
298,290
69,238
110,239
17,48
108,166
256,64
316,115
11,233
71,284
219,182
198,59
310,300
258,110
318,161
10,8
122,249
101,126
120,176
161,177
221,228
307,2
23,243
64,244
124,295
210,69
163,223
311,121
22,18
25,289
66,290
173,187
214,188
272,166
313,167
76,254
24,64
84,115
115,182
175,233
216,234
276,285
18,249
78,300
119,301
174,8
265,126
77,75
75,2
168,193
228,244
176,54
314,18
267,172
131,311
79,121
38,120
170,239
230,290
73,306
128,13
188,64
279,182
320,183
31,80
91,131
70,8
182,249
223,250
130,59
283,301
85,316
33,126
126,317
181,24
184,295
280,3
82,18
123,19
235,260
183,70
274,188
26,86
86,137
177,255
237,306
135,29
88,183
179,301
234,8
137,75
290,317
238,127
288,244
40,142
100,193
141,194
232,312
287,19
3,260
89,34
42,188
190,86
281,204
229,14
93,153
132,81
54,198
95,199
155,250
241,24
282,25
301,75
58,317
144,91
185,92
204,142
245,143
295,260
47,158
107,209
148,210
146,137
294,35
247,189
10,276
51,277
49,204
109,255
197,102
257,153
236,30
296,81
139,97
199,148
259,199
102,215
9,24
162,266
248,40
201,194
289,41
5,282
13,143
151,107
104,261
63,260
252,159
250,86
62,35
153,153
213,204
254,205
56,220
4,30
116,271
157,272
243,46
303,97
206,164
266,215
305,143
16,40
57,41
117,92
208,210
20,159
70,276
111,277
298,103
69,51
110,52
160,169
220,220
261,221
11,46
123,287
164,288
71,97
310,113
263,267
122,62
34,215
273,231
221,41
312,159
23,56
64,57
124,108
215,226
275,277
316,278
27,175
25,102
118,293
214,1
217,272
76,67
29,221
175,46
268,237
276,98
18,62
78,113
138,164
229,282
270,283
41,231
168,6
228,57
319,175
131,124
222,242
170,52
282,293
230,103
73,119
133,170
224,288
36,237
96,288
223,63
283,114
314,181
85,129
126,130
38,283
186,181
184,108
277,299
87,175
235,73
188,227
274,1
50,293
177,68
237,119
297,170
80,135
140,186
200,237
179,114
286,11
43,253
103,304
189,78
142,232
290,130
288,57
4,298
45,299
100,6
193,197
141,7
191,124
232,125
251,175
292,176
3,73
94,191
42,1
154,242
195,243
281,17
57,309
98,310
244,135
285,136
304,186
54,11
95,12
207,253
155,63
147,202
246,181
110,320
58,130
89,197
149,248
209,299
295,73
52,315
107,22
148,23
198,140
239,141
299,192
10,89
51,90
101,207
49,17
202,259
109,68
301,238
12,135
163,304
204,305
259,12
102,28
162,79
253,197
201,7
313,248
5,95
65,146
63,73
156,264
104,74
257,316
216,315
255,243
7,141
67,192
158,310
306,208
254,18
213,17
56,33
116,84
157,85
248,203
267,253
308,254
19,151
60,152
151,270
170,320
266,28
21,197
169,95
260,213
208,23
320,264
72,162
70,89
111,90
171,141
262,259
14,157
74,208
220,33
261,34
123,100
164,101
315,270
26,167
34,28
125,146
273,44
226,198
317,316
28,213
88,264
129,265
215,39
275,90
118,106
178,157
238,208
269,275
217,85
81,224
29,34
141,275
120,152
180,203
23,219
83,270
231,168
229,95
270,96
41,44
132,162
173,163
233,214
35,229
76,230
136,281
134,208
222,55
282,106
37,275
185,173
224,101
284,152
36,50
96,101
127,168
187,219
247,270
30,235
90,286
38,96
236,111
277,112
139,178
240,230
188,40
279,158
143,297
91,107
50,106
289,122
242,276
201,275
13,224
44,291
200,50
291,168
43,66
103,117
194,235
142,45
254,286
235,236
6,184
97,302
4,111
105,163
193,10
196,281
8,230
94,4
154,55
195,56
286,174
57,122
98,123
189,241
249,292
1,190
59,168
147,15
207,66
298,184
110,133
89,10
209,112
302,303
300,230
52,128
112,179
203,297
299,5
15,246
101,20
54,174
202,72
293,190
301,51
17,292
163,117
204,118
256,308
295,236
66,184
107,185
167,236
198,303
253,10
313,61
10,252
156,77
216,128
257,129
307,246
255,56
119,195
67,5
210,313
158,123
306,21
22,262
61,190
121,241
267,66
308,67
24,308
79,15
170,133
211,134
271,185
73,200
21,10
114,201
260,26
320,77
77,319
75,246
223,144
264,145
176,298
314,262
262,72
74,21
165,139
225,190
128,257
188,308
315,83
70,252
218,150
130,303
278,201
226,11
317,129
28,26
181,268
129,78
88,77
179,195
220,196
280,247
32,145
82,262
123,263
238,21
269,88
141,88
172,155
232,206
273,207
23,32
135,273
83,83
234,252
46,201
137,319
285,217
233,27
35,42
76,43
136,94
227,212
134,21
287,263
89,278
37,88
138,140
41,207
239,222
187,32
247,83
51,171
30,48
90,99
150,150
241,268
282,269
301,319
53,217
92,145
240,43
143,110
294,279
242,89
201,88
13,37
44,104
104,155
145,156
236,274
7,222
48,223
194,48
254,99
9,268
97,115
157,166
248,284
289,285
196,94
60,233
8,43
99,161
159,212
2,228
62,279
189,54
249,105
309,156
1,3
4,274
152,172
212,223
243,290
251,151
55,239
113,217
154,218
302,116
300,43
16,284
57,285
203,110
263,161
304,162
15,59
106,177
166,228
207,229
205,156
293,3
69,295
17,105
110,296
108,223
256,121
316,172
11,290
219,239
167,49
318,218
10,65
122,306
29,115
120,233
161,234
221,285
307,59
23,300
64,301
119,8
210,126
270,177
311,178
22,75
61,3
173,244
214,245
